0 0 1004 1009 209 283 2.30838 0.993054
0 0 1342 720 161 266 3.44447 0.889079
1 0 1004 1090 208 291 2.30354 0.990972
1 0 1342 805 161 265 3.46621 0.894689
1 1 429 507 27 47 19.978 15.9079
1 0 538 530 23 38 17.1686 12.6547
1 0 366 542 28 37 15.2609 12.6537
1 0 649 531 18 29 19.277 13.0679
1 0 141 524 20 25 19.6212 18.7422
2 0 1005 1092 203 287 2.30354 0.996022
2 0 1343 805 160 265 3.46621 0.894689
2 0 431 509 25 46 19.6212 15.6023
2 0 538 528 23 40 17.4411 12.8556
2 0 366 542 28 37 15.2609 12.6537
2 0 648 530 18 29 19.277 13.0679
3 0 1012 1092 192 283 2.31812 0.997244
3 0 1343 804 161 267 3.48821 0.900369
3 1 2023 788 125 184 4.16207 -0.435652
3 0 364 540 29 38 15.697 13.0324
3 0 430 519 25 37 19.277 15.3286
3 0 535 531 24 34 18.0129 13.2968
3 0 648 530 18 31 18.9446 12.8426
3 1 571 523 21 30 21.5448 15.5026
4 0 1007 1092 204 285 2.32302 0.999353
4 0 1342 804 164 269 3.48821 0.896546
4 1 2023 793 124 177 4.16207 -0.435652
5 0 1008 1089 204 287 2.32794 0.998918
5 0 1343 806 160 265 3.48821 0.900369
5 1 2027 788 117 184 4.16207 -0.435652
5 0 850 496 24 54 23.3785 13.209
6 0 1009 1089 209 291 2.31812 0.992163
6 0 1344 804 164 265 3.45531 0.884301
6 0 780 496 19 56 21.5448 13.0468
7 0 1009 1088 205 290 2.31812 0.994704
7 0 1340 805 165 267 3.46621 0.894689
7 1 2230 1100 194 267 2.29872 -0.545469
7 0 711 502 32 57 19.978 12.7767
7 0 777 500 23 54 21.1305 12.819
7 0 986 501 18 41 27.4697 13.5335
8 2 1010 1088 204 292 2.31812 0.992163
8 3 1341 804 166 266 3.48821 0.900369
8 0 709 503 32 55 19.978 12.7986
8 0 779 501 21 52 21.5448 13.0468
9 2 1014 1089 201 291 2.31812 0.989622
9 3 1341 804 168 266 3.49932 0.899401
9 3 710 505 32 55 19.978 12.7767
9 3 851 498 23 52 23.3785 13.2347
9 0 778 501 23 52 21.5448 13.0468
10 2 1009 1089 208 293 2.32302 0.99426
10 3 1340 803 168 268 3.47718 0.893709
10 3 709 502 32 57 19.978 12.7986
10 3 428 505 34 54 19.6212 15.5808
10 0 778 501 22 52 21.5448 13.0468
11 2 1010 1087 205 293 2.32302 0.99426
11 3 1341 804 167 268 3.47718 0.89752
11 1 2027 790 117 178 4.16207 -0.435652
11 3 712 505 30 55 19.978 12.7767
