1360 3 113 1024 349 516 1.96212 1.72798
1360 3 2776 936 292 452 2.25624 -1.27232
1360 0 2407 847 114 174 3.69962 -1.15363
1360 1 988 790 108 150 4.4128 2.05798
1360 1 568 756 112 131 4.94949 3.44206
1360 0 2185 727 88 118 5.4666 -1.0036
1360 0 2094 653 60 93 7.32525 -0.927323
1360 1 1272 674 66 92 6.86742 2.21669
1360 1 939 664 75 87 7.32525 3.68922
1360 1 1380 616 53 78 9.08089 2.42356
1360 0 2028 615 52 76 9.15656 -0.807895
1360 0 551 622 63 74 9.15656 6.58861
1360 1 1122 615 53 70 9.39135 3.83425
1360 1 1272 576 44 63 11.5662 3.79676
1360 1 1469 574 38 61 12.2087 2.72309
1360 0 810 584 47 61 11.4457 6.6551
1360 0 1971 577 35 57 11.6892 -0.595752
1360 1 1378 554 33 50 14.4577 3.95364
1360 0 1927 553 28 46 14.8485 -0.382452
1360 0 2046 494 16 31 28.174 -2.48583
1360 0 2112 496 16 25 31.3939 -3.90542
1361 3 113 1024 352 516 1.96212 1.72583
1361 3 2779 937 288 448 2.25624 -1.27232
1361 0 2407 851 115 170 3.69962 -1.15363
1361 1 987 789 109 151 4.4128 2.06281
1361 1 568 756 113 131 4.9273 3.42663
1361 0 2185 727 88 117 5.49394 -1.00861
1361 0 2095 653 59 93 7.37441 -0.925464
1361 1 1273 676 66 92 6.86742 2.21669
1361 1 939 666 75 86 7.32525 3.68922
1361 0 2029 618 52 76 9.15656 -0.807895
1361 1 1380 619 53 76 9.08089 2.42356
1361 0 551 621 62 76 9.08089 6.53416
1361 1 1122 615 53 70 9.39135 3.83425
1361 1 1270 577 44 62 11.5662 3.80944
1361 0 810 584 47 61 11.4457 6.6551
1361 1 1469 576 39 59 11.9433 2.66389
1361 0 1971 579 35 57 11.6892 -0.595752
1361 1 1378 554 32 49 14.6505 4.00636
1361 0 1927 553 28 46 14.8485 -0.382452
1361 0 2047 494 14 31 28.174 -2.45495
1362 3 113 1019 350 522 1.96212 1.72798
1362 3 2776 938 294 448 2.25624 -1.27232
1362 0 2406 851 115 170 3.69962 -1.15363
